t,PR_AUC,Recall,FNR
10186,0.9779185903521795,0.9910714285714286,0.008928571428571428
10187,0.9779185903521795,0.9910714285714286,0.008928571428571428
10188,0.9779185903521795,0.9910714285714286,0.008928571428571428
10189,0.9779185903521795,0.9910714285714286,0.008928571428571428
10190,0.9779185903521795,0.9910714285714286,0.008928571428571428
10191,0.9779185903521795,0.9910714285714286,0.008928571428571428
10192,0.9779185903521795,0.9910714285714286,0.008928571428571428
10193,0.9779185903521795,0.9910714285714286,0.008928571428571428
10194,0.9779185903521795,0.9910714285714286,0.008928571428571428
10195,0.9779185903521795,0.9910714285714286,0.008928571428571428
10196,0.9779185903521795,0.9910714285714286,0.008928571428571428
10197,0.9779185903521795,0.9910714285714286,0.008928571428571428
10198,0.9779185903521795,0.9910714285714286,0.008928571428571428
10199,0.9779185903521795,0.9910714285714286,0.008928571428571428
10200,0.9779185903521795,0.9910714285714286,0.008928571428571428
10201,0.977908931295963,0.9910714285714286,0.008928571428571428
10202,0.977908931295963,0.9910714285714286,0.008928571428571428
10203,0.977908931295963,0.9910714285714286,0.008928571428571428
10204,0.977908931295963,0.9910714285714286,0.008928571428571428
10205,0.977908931295963,0.9910714285714286,0.008928571428571428
10206,0.977908931295963,0.9910714285714286,0.008928571428571428
10207,0.977908931295963,0.9910714285714286,0.008928571428571428
10208,0.977908931295963,0.9910714285714286,0.008928571428571428
10209,0.977908931295963,0.9910714285714286,0.008928571428571428
10210,0.977908931295963,0.9910714285714286,0.008928571428571428
10211,0.977908931295963,0.9910714285714286,0.008928571428571428
10212,0.977908931295963,0.9910714285714286,0.008928571428571428
10213,0.977908931295963,0.9910714285714286,0.008928571428571428
10214,0.977908931295963,0.9910714285714286,0.008928571428571428
10215,0.977908931295963,0.9910714285714286,0.008928571428571428
10216,0.977908931295963,0.9910714285714286,0.008928571428571428
10217,0.977908931295963,0.9910714285714286,0.008928571428571428
10218,0.977908931295963,0.9910714285714286,0.008928571428571428
10219,0.977908931295963,0.9910714285714286,0.008928571428571428
10220,0.977908931295963,0.9910714285714286,0.008928571428571428
10221,0.977908931295963,0.9910714285714286,0.008928571428571428
10222,0.977908931295963,0.9910714285714286,0.008928571428571428
10223,0.977908931295963,0.9910714285714286,0.008928571428571428
10224,0.977908931295963,0.9910714285714286,0.008928571428571428
10225,0.977908931295963,0.9910714285714286,0.008928571428571428
10226,0.977908931295963,0.9910714285714286,0.008928571428571428
10227,0.977908931295963,0.9910714285714286,0.008928571428571428
10228,0.977908931295963,0.9910714285714286,0.008928571428571428
10229,0.977908931295963,0.9910714285714286,0.008928571428571428
10230,0.977908931295963,0.9910714285714286,0.008928571428571428
10231,0.977908931295963,0.9910714285714286,0.008928571428571428
10232,0.977908931295963,0.9910714285714286,0.008928571428571428
10233,0.977908931295963,0.9910714285714286,0.008928571428571428
10234,0.977908931295963,0.9910714285714286,0.008928571428571428
10235,0.977908931295963,0.9910714285714286,0.008928571428571428
10236,0.977908931295963,0.9910714285714286,0.008928571428571428
10237,0.977908931295963,0.9910714285714286,0.008928571428571428
10238,0.977908931295963,0.9910714285714286,0.008928571428571428
10239,0.977908931295963,0.9910714285714286,0.008928571428571428
10240,0.977908931295963,0.9910714285714286,0.008928571428571428
10241,0.977908931295963,0.9910714285714286,0.008928571428571428
10242,0.977908931295963,0.9910714285714286,0.008928571428571428
10243,0.977908931295963,0.9910714285714286,0.008928571428571428
10244,0.977908931295963,0.9910714285714286,0.008928571428571428
10245,0.977908931295963,0.9910714285714286,0.008928571428571428
10246,0.977908931295963,0.9910714285714286,0.008928571428571428
10247,0.977908931295963,0.9910714285714286,0.008928571428571428
10248,0.977908931295963,0.9910714285714286,0.008928571428571428
10249,0.977908931295963,0.9910714285714286,0.008928571428571428
10250,0.977908931295963,0.9910714285714286,0.008928571428571428
10251,0.977908931295963,0.9910714285714286,0.008928571428571428
10252,0.977908931295963,0.9910714285714286,0.008928571428571428
10253,0.977908931295963,0.9910714285714286,0.008928571428571428
10254,0.977908931295963,0.9910714285714286,0.008928571428571428
10255,0.977908931295963,0.9910714285714286,0.008928571428571428
10256,0.977908931295963,0.9910714285714286,0.008928571428571428
10257,0.977908931295963,0.9910714285714286,0.008928571428571428
10258,0.977908931295963,0.9910714285714286,0.008928571428571428
10259,0.977908931295963,0.9910714285714286,0.008928571428571428
10260,0.977908931295963,0.9910714285714286,0.008928571428571428
10261,0.977908931295963,0.9910714285714286,0.008928571428571428
10262,0.977908931295963,0.9910714285714286,0.008928571428571428
10263,0.977908931295963,0.9910714285714286,0.008928571428571428
10264,0.977908931295963,0.9910714285714286,0.008928571428571428
10265,0.977908931295963,0.9910714285714286,0.008928571428571428
10266,0.977908931295963,0.9910714285714286,0.008928571428571428
10267,0.977908931295963,0.9910714285714286,0.008928571428571428
10268,0.977908931295963,0.9910714285714286,0.008928571428571428
10269,0.977908931295963,0.9910714285714286,0.008928571428571428
10270,0.977908931295963,0.9910714285714286,0.008928571428571428
10271,0.977908931295963,0.9910714285714286,0.008928571428571428
10272,0.977908931295963,0.9910714285714286,0.008928571428571428
10273,0.977908931295963,0.9910714285714286,0.008928571428571428
10274,0.977908931295963,0.9910714285714286,0.008928571428571428
10275,0.977908931295963,0.9910714285714286,0.008928571428571428
10276,0.977908931295963,0.9910714285714286,0.008928571428571428
10277,0.977908931295963,0.9910714285714286,0.008928571428571428
10278,0.977908931295963,0.9910714285714286,0.008928571428571428
10279,0.977908931295963,0.9910714285714286,0.008928571428571428
10280,0.977908931295963,0.9910714285714286,0.008928571428571428
10281,0.977908931295963,0.9910714285714286,0.008928571428571428
10282,0.977908931295963,0.9910714285714286,0.008928571428571428
10283,0.977908931295963,0.9910714285714286,0.008928571428571428
10284,0.977908931295963,0.9910714285714286,0.008928571428571428
10285,0.977908931295963,0.9910714285714286,0.008928571428571428
10286,0.977908931295963,0.9910714285714286,0.008928571428571428
