t,PH_alarm,DDM_alarm,ADWIN_alarm,error,prob
16385,0,0,0,0.0,1e-06
16386,0,0,0,0.0,1e-06
16387,0,0,0,0.0,1e-06
16388,0,0,0,0.0,1e-06
16389,0,0,0,0.0,1e-06
16390,0,0,0,0.0,1e-06
16391,0,0,0,0.0,1e-06
16392,0,0,0,0.0,1e-06
16393,0,0,0,0.0,1e-06
16394,0,0,0,0.0,1e-06
16395,0,0,0,0.0,1e-06
16396,0,0,0,0.0,1e-06
16397,0,0,0,0.0,1e-06
16398,0,0,0,0.0,1e-06
16399,0,0,0,0.0,1e-06
16400,0,0,0,0.0,1e-06
16401,0,0,0,0.0,1e-06
16402,0,0,0,0.0,1e-06
16403,0,0,0,0.0,1e-06
16404,0,0,0,0.0,1e-06
16405,0,0,0,0.0,1e-06
16406,0,0,0,0.0,1e-06
16407,0,0,0,0.0,1e-06
16408,0,0,0,0.0,1e-06
16409,0,0,0,0.0,1e-06
16410,0,0,0,0.0,1e-06
16411,0,0,0,0.0,1e-06
16412,0,0,0,0.0,1e-06
16413,0,0,0,0.0,1e-06
16414,0,0,0,0.0,1e-06
16415,0,0,0,0.0,1e-06
16416,0,0,0,0.0,1e-06
16417,0,0,0,0.0,1e-06
16418,0,0,0,0.0,1e-06
16419,0,0,0,0.0,1e-06
16420,0,0,0,0.0,1e-06
16421,0,0,0,0.0,1e-06
16422,0,0,0,0.0,1e-06
16423,0,0,0,0.0,1e-06
16424,0,0,0,0.0,1e-06
16425,0,0,0,0.0,1e-06
16426,0,0,0,0.0,1e-06
16427,0,0,0,0.0,1e-06
16428,0,0,0,0.0,1e-06
16429,0,0,0,0.0,1e-06
16430,0,0,0,0.0,1e-06
16431,0,0,0,0.0,1e-06
16432,0,0,0,0.0,1e-06
16433,0,0,0,0.0,1e-06
16434,0,0,0,0.0,1e-06
16435,0,0,0,0.0,1e-06
16436,0,0,0,0.0,1e-06
16437,0,0,0,0.0,1e-06
16438,0,0,0,0.0,1e-06
16439,0,0,0,0.0,1e-06
16440,0,0,0,0.0,1e-06
16441,0,0,0,0.0,1e-06
16442,0,0,0,0.0,1e-06
16443,0,0,0,0.0,1e-06
16444,0,0,0,0.0,1e-06
16445,0,0,0,0.0,1e-06
16446,0,0,0,0.0,1e-06
16447,0,0,0,0.0,1e-06
16448,0,0,0,0.0,1e-06
16449,0,0,0,0.0,1e-06
16450,0,0,0,0.0,1e-06
16451,0,0,0,0.0,1e-06
16452,0,0,0,0.0,1e-06
16453,0,0,0,0.0,1e-06
16454,0,0,0,0.0,1e-06
16455,0,0,0,0.0,1e-06
